name,price,sweet,bitter,fruity,acidity,aging,soft,review
Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),30,4,3,4,3,5,3,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather."
Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),25,4,3,4,4,4,4,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.
Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),,4,2,4,3,3,3,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table."
Roland Champion NV Brut Ros챕 (Champagne),7,5,3,5,2,3,5,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink."
Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),22,5,3,5,3,3,4,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors."
Simonnet-Febvre 2015 Chablis,14,5,3,5,2,2,4,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now."
Vignerons des Terres Secr챔tes 2015 M창con-Milly Lamartine,10,4,3,4,3,3,4,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character."
Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),,4,3,4,3,4,3,"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes."
Cocobon 2014 Red (California),30,4,3,2,3,5,2,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny."
Collet NV Brut Ros챕 (Champagne),12,3,3,4,4,3,4,"This cooperative, based in A첼, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink."
Drumheller 2014 Chardonnay (Columbia Valley (WA)),18,4,3,5,5,4,4,"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted."
Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),14,4,3,4,3,5,3,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds."
Grifalco 2013 Daginestra (Aglianico del Vulture),28,4,4,4,4,5,2,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish."
Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),24,5,3,5,3,4,3,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness."
Hindsight 2012 Estate Grown Petite Sirah (Calistoga),56,5,3,5,3,3,3,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.
Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),44,3,4,3,4,4,3,"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin."
Schmitt S철hne 2015 Riesling (Rheinhessen),75,5,3,5,3,3,4,"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018."
Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),48,4,3,4,3,3,4,"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now."
Z'IVO 2015 Ros챕 of Pinot Noir (Eola-Amity Hills),18,4,3,4,3,3,3,"Some ros챕s are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up."
Adega Cooperativa do Cartaxo 2014 Brid찾o Touriga Nacional (Tejo),20,3,3,3,3,3,4,"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible?봶ith black fruits and light tannins for this grape. It is ready to drink."
